EntanglementId,EGNo,EventNo,StartDate,EndDate,EntanglementComment
190,1310,1,01/01/1900,7/28/1986,Unknown age female; unknown timeframe; MODERATE
191,1311,1,01/01/1900,03/10/1985,2 year old male; < 3 year timeframe; MODERATE
192,1311,2,08/03/1995,05/12/2000,17 year old male; > 3 year timeframe; MINOR
193,1314,1,01/01/1900,2/17/1986,Unknown age female; unknown timeframe; MINOR
194,1315,1,09/09/1992,1/18/2002,19 year old female; > 3 year timeframe; MINOR
195,1317,1,01/01/1900,02/02/1984,1 year old male; < 2 year timeframe; MINOR
196,1317,2,9/14/1999,1/27/2000,17 year old male; < 5 month timeframe; MINOR
197,1318,1,01/01/1900,4/23/1979,Unknown age female; unknown timeframe; MODERATE
198,1320,1,01/01/1900,1/31/1989,Adult male; unknown timeframe; MINOR
199,1321,1,09/06/1983,3/25/1987,Unknown age female; > 3 year timeframe; MINOR
200,1323,1,01/01/1900,07/08/1983,Unknown age male; unknown timeframe; MODERATE
201,1323,2,9/14/1989,7/31/1992,Adult male; < 3 year timeframe; MINOR
202,1325,1,08/10/1983,8/26/1984,Unknown age and sex; < 13 month timeframe; MINOR
203,1327,1,01/01/1900,4/23/1982,Unknown age male; unknown timeframe; MINOR
204,1327,2,10/13/1997,7/14/2000,Adult male; < 3 year timeframe; MINOR
205,1328,1,01/01/1900,09/02/1988,Unknown age male; unknown timeframe; MINOR
206,1328,2,8/20/1993,3/25/1996,Adult male; < 3 year timeframe; MINOR
207,1328,3,08/06/1998,2/24/2000,Adult male; < 2 year timeframe; MINOR
208,1331,1,9/25/1987,8/31/1988,Unknown age male; < 1 year timeframe; MINOR
209,1332,1,09/02/1988,7/31/1995,Adult male; > 3 year timeframe; MINOR
210,1332,2,8/31/1995,08/10/1997,Adult male; < 2 year timeframe; MINOR
211,1401,1,5/29/1980,08/05/1984,Unknown age male; > 3 year timeframe; MINOR
212,1402,1,8/28/1991,07/11/1996,12 year old male; > 3 year timeframe; MINOR
213,1402,2,08/03/1999,5/26/2000,16 year old male; < 1 year timeframe; MODERATE
214,1403,1,9/25/1992,08/02/1997,13 year old male; > 3 year timeframe; MINOR
215,1404,1,01/01/1900,8/17/1984,"Calf, male; < 1 year timeframe; MINOR"
216,1405,1,01/01/1900,09/01/1988,4 year old female; unknown timeframe; MINOR
217,1405,2,9/25/1989,8/15/1990,6 year old female; < 1 year timeframe; MINOR
218,1406,1,03/09/1985,05/02/1985,1 year old female; < 2 month timeframe; GEAR; MINOR
219,1406,2,4/15/1994,3/14/1997,13 year old female; < 3 year timeframe; MODERATE
221,1407,1,01/01/1900,09/03/1988,Adult female; unknown timeframe; MINOR
222,1407,2,3/30/1998,05/02/1999,Adult female; < 2 year timeframe; MINOR
223,1408,1,10/10/1984,7/31/1985,1 year old female; < 10 month timeframe; MINOR
224,1408,2,10/14/1987,08/12/1988,4 year old female; < 1 year timeframe; MINOR
225,1408,3,02/10/1996,08/03/1996,12 year old female; < 6 month timeframe; MINOR
226,1409,1,9/26/1994,7/27/1995,11 year old male; < 1 year timeframe; MINOR
228,1411,1,10/13/1984,5/15/1986,2 year old male; < 2 year timeframe; GEAR; SEVERE (check with URI for images)
229,1412,1,01/01/1900,10/06/1984,Unknown age female; unknown timeframe; MINOR
230,1419,1,10/08/1995,8/23/1999,Adult male; > 3 year timeframe; MINOR
231,1422,1,01/01/1900,8/19/1980,Unknown age male; unknown timeframe; MODERATE
233,1423,1,01/01/1900,5/14/1981,Unknown age and sex; unknown timeframe; MINOR
234,1423,2,04/09/1996,5/14/1999,"Adult, unknown sex; > 3 year timeframe; MINOR"
235,1424,1,5/30/1980,08/10/1983,3 year old male; unknown timeframe; MINOR
236,1424,2,9/17/2001,02/12/2002,22 year old male; < 5 month timeframe; GEAR; SEVERE
237,1425,1,01/01/1900,09/02/1988,Unknown age female; unknown timeframe; MINOR
238,1425,2,4/14/1998,01/06/2001,Adult female; < 3 year timeframe; MINOR
239,1426,1,01/01/1900,7/31/1985,1 year old female; < 2 year timeframe; MODERATE
240,1426,2,03/08/1990,8/20/1990,6 year old female; < 6 month timeframe; MODERATE
241,1427,1,01/01/1900,8/29/1989,5 year old male; unknown timeframe; MINOR
242,1427,2,09/05/1989,9/22/1990,6 year old male; < 13 month timeframe; MINOR
243,1427,3,9/26/1994,8/20/1996,12 year old male; < 2 year timeframe; MINOR
244,1427,4,05/08/2002,07/12/2002,18 year old male; < 3 month timeframe; GEAR; MODERATE
